Device ID,Vehicle Type,Trip Duration,duration_minutes,Trip Distance,Start Time,End Time,month,Hour,day ,Start District,End District,Origin Cell ID,Destination Cell ID,Year,Start Latitude,Start Longitude,End Latitude,End Longitude,status
eb1fc8ef-2f9c-4f9d-92a7-b481edf5781c,bicycle,60,1,52,10/23/2018 12:30:00,10/23/2018 12:30:00,10,12,2,5,9,13918,13918,2018,30.263,-97.756,30.263,-97.755,Active
243b973f-f172-4250-9e1f-0f9fea7bf45d,bicycle,715,11.92,2140,07/29/2018 07:00:00,07/29/2018 07:15:00,7,19,7,5,5,13602,12972,2018,30.262,-97.759,30.263,-97.77,Active
0bd62bc0-ee96-4a1b-95b8-c66b5a8cc833,bicycle,549,9.15,1947,07/29/2018 07:15:00,07/29/2018 07:30:00,7,19,7,9,9,14230,14383,2018,30.257,-97.75,30.247,-97.748,Active
a6877d88-b3cd-4bc6-941c-8c441760c608,bicycle,765,12.75,3267,01/08/2018 15:00:00,01/08/2018 15:15:00,8,15,3,3,5,15335,13603,2018,30.264,-97.734,30.265,-97.761,Active
1858b897-6b46-4ec1-8ce5-c3ceab08437a,bicycle,1261,21.02,2462,02/07/2018 11:00:00,02/07/2018 11:30:00,7,11,1,3,1,15965,14866,2018,30.263,-97.725,30.272,-97.741,Active
c7162240-d27f-4a47-ba3b-18f05042d3fc,bicycle,898,14.97,2285,02/07/2018 11:15:00,02/07/2018 11:30:00,7,11,1,3,1,15965,14866,2018,30.263,-97.725,30.272,-97.741,Active
243a374e-2faa-48d8-a4f3-ce2f351fcba4,bicycle,1751,29.18,5488,08/07/2018 14:45:00,08/07/2018 15:15:00,7,14,7,9,8,15800,13289,2018,30.245,-97.726,30.267,-97.765,Active
1ae4f129-d5c1-4d70-b3e0-641db60aebac,bicycle,1920,32,3039,02/09/2018 15:00:00,02/09/2018 15:30:00,9,15,7,9,9,14861,14706,2018,30.26,-97.741,30.264,-97.744,Active
07674c49-c3dd-4d9b-a5cd-9f957071f220,bicycle,2220,37,789,02/09/2018 21:30:00,02/09/2018 22:15:00,9,21,7,9,9,13916,13916,2018,30.26,-97.755,30.26,-97.755,Active
5fa79506-7c9f-4f65-9941-dcfdbde33da1,bicycle,51,0.85,89,10/23/2018 02:00:00,10/23/2018 02:00:00,10,14,2,8,8,12973,12973,2018,30.264,-97.771,30.264,-97.77,Active
67661075-9b23-409d-a9f7-6fa32438b895,bicycle,231,3.85,622,08/22/2018 09:45:00,08/22/2018 09:45:00,8,21,3,9,9,14236,14393,2018,30.27,-97.751,30.269,-97.748,Active
65a14f82-79d0-4fbf-ad88-930165c2c1e7,bicycle,480,8,455,07/10/2018 18:30:00,07/10/2018 18:45:00,10,18,7,9,9,14707,15180,2018,30.267,-97.743,30.269,-97.735,Active
8b247e71-9dd1-41b4-8ee0-136f76ef7650,bicycle,1020,17,830,06/10/2018 20:15:00,06/10/2018 20:30:00,10,20,6,5,9,13603,14390,2018,30.264,-97.76,30.263,-97.747,Active
75c46853-438f-4bd5-9e94-ff8e45f20d85,bicycle,1020,17,2410,09/25/2018 11:00:00,09/25/2018 11:15:00,9,23,2,9,9,15180,14392,2018,30.268,-97.736,30.267,-97.749,Active
0c7c9498-cd12-4a4b-8814-bc44fb9a06c0,bicycle,5571,92.85,5,10/28/2018 03:15:00,10/28/2018 04:45:00,10,15,7,5,5,13760,12972,2018,30.263,-97.757,30.262,-97.77,Active
11a91f5f-e136-4248-b906-5bc56dcb8958,bicycle,240,4,144,05/10/2018 13:30:00,05/10/2018 13:30:00,10,13,5,5,5,13602,13445,2018,30.262,-97.762,30.264,-97.763,Active
a9f4075e-a6df-4d24-acfb-158d5ee93010,bicycle,314,5.23,803,06/10/2018 10:30:00,06/10/2018 10:30:00,10,10,6,9,1,14710,14868,2018,30.275,-97.742,30.276,-97.742,Active
37803efe-c5a3-42a5-8ae3-8d3cff695da2,bicycle,1576,26.27,4040,11/09/2018 12:00:00,11/09/2018 12:30:00,9,12,2,9,5,14389,12972,2018,30.261,-97.748,30.262,-97.77,Active
508f5ad8-e692-431f-8b0a-83a5e8b53863,bicycle,1453,24.22,44,10/10/2018 22:15:00,10/10/2018 22:45:00,10,22,3,5,5,13442,13599,2018,30.255,-97.761,30.255,-97.761,Active
6e09a5a4-3fb2-43a8-b449-4ba2f8ac3aed,bicycle,3276,54.6,2835,06/10/2018 10:15:00,06/10/2018 11:00:00,10,10,6,9,9,13919,13919,2018,30.267,-97.754,30.266,-97.755,Active
99f695fd-3556-40ad-ae0e-9229b88d8a6b,bicycle,108,1.8,5,09/23/2018 04:00:00,09/23/2018 04:00:00,9,16,7,9,9,15336,15336,2018,30.265,-97.735,30.265,-97.735,Active
6e09a5a4-3fb2-43a8-b449-4ba2f8ac3aed,bicycle,25,0.42,1,08/25/2018 11:45:00,08/25/2018 11:45:00,8,23,6,9,9,14389,14389,2018,30.26,-97.749,30.26,-97.749,Active
e7db4037-934a-4090-86e9-0f4d910f6e0a,bicycle,1500,25,706,02/09/2018 16:45:00,02/09/2018 17:00:00,9,16,7,9,9,14389,14389,2018,30.26,-97.747,30.26,-97.749,Active
c0aecaca-0c24-4ffa-9449-fc877a6badca,bicycle,1706,28.43,5087,09/21/2018 06:00:00,09/21/2018 06:30:00,9,18,5,9,3,14546,16588,2018,30.259,-97.746,30.245,-97.716,Active
a941aaf6-e0b3-45de-964a-795f450e6815,bicycle,459,7.65,1545,06/07/2018 16:15:00,06/07/2018 16:15:00,7,16,5,9,3,15020,15807,2018,30.264,-97.74,30.262,-97.727,Active
37e06d1c-3a28-466e-ab6b-d5d1a9368310,bicycle,397,6.62,1577,10/07/2018 12:45:00,10/07/2018 13:00:00,7,12,2,9,9,14706,14389,2018,30.265,-97.743,30.26,-97.748,Active
