Vehicle Type,duration,Trip Distance,datetime,End Time,month,hour,day ,Start District,End District,checkout_kiosk_id,checkin_kiosk_id,year,lat,lon,lat1,lon1
bicycle,60,52,10/23/2018 12:30:00,10/23/2018 12:30:00,10,12,2,5,9,13918,13918,2018,30.263,-97.756,30.263,-97.755
bicycle,715,2140,07/29/2018 07:00:00,07/29/2018 07:15:00,7,19,7,5,5,13602,12972,2018,30.262,-97.759,30.263,-97.77
bicycle,549,1947,07/29/2018 07:15:00,07/29/2018 07:30:00,7,19,7,9,9,14230,14383,2018,30.257,-97.75,30.247,-97.748
bicycle,765,3267,01/08/2018 15:00:00,01/08/2018 15:15:00,8,15,3,3,5,15335,13603,2018,30.264,-97.734,30.265,-97.761
bicycle,1261,2462,02/07/2018 11:00:00,02/07/2018 11:30:00,7,11,1,3,1,15965,14866,2018,30.263,-97.725,30.272,-97.741
bicycle,898,2285,02/07/2018 11:15:00,02/07/2018 11:30:00,7,11,1,3,1,15965,14866,2018,30.263,-97.725,30.272,-97.741
bicycle,1751,5488,08/07/2018 14:45:00,08/07/2018 15:15:00,7,14,7,9,8,15800,13289,2018,30.245,-97.726,30.267,-97.765
bicycle,1920,3039,02/09/2018 15:00:00,02/09/2018 15:30:00,9,15,7,9,9,14861,14706,2018,30.26,-97.741,30.264,-97.744
bicycle,2220,789,02/09/2018 21:30:00,02/09/2018 22:15:00,9,21,7,9,9,13916,13916,2018,30.26,-97.755,30.26,-97.755
bicycle,51,89,10/23/2018 02:00:00,10/23/2018 02:00:00,10,14,2,8,8,12973,12973,2018,30.264,-97.771,30.264,-97.77
bicycle,231,622,08/22/2018 09:45:00,08/22/2018 09:45:00,8,21,3,9,9,14236,14393,2018,30.27,-97.751,30.269,-97.748
bicycle,480,455,07/10/2018 18:30:00,07/10/2018 18:45:00,10,18,7,9,9,14707,15180,2018,30.267,-97.743,30.269,-97.735
bicycle,1020,830,06/10/2018 20:15:00,06/10/2018 20:30:00,10,20,6,5,9,13603,14390,2018,30.264,-97.76,30.263,-97.747
bicycle,1020,2410,09/25/2018 11:00:00,09/25/2018 11:15:00,9,23,2,9,9,15180,14392,2018,30.268,-97.736,30.267,-97.749
bicycle,5571,5,10/28/2018 03:15:00,10/28/2018 04:45:00,10,15,7,5,5,13760,12972,2018,30.263,-97.757,30.262,-97.77
bicycle,240,144,05/10/2018 13:30:00,05/10/2018 13:30:00,10,13,5,5,5,13602,13445,2018,30.262,-97.762,30.264,-97.763
bicycle,314,803,06/10/2018 10:30:00,06/10/2018 10:30:00,10,10,6,9,1,14710,14868,2018,30.275,-97.742,30.276,-97.742
bicycle,1576,4040,11/09/2018 12:00:00,11/09/2018 12:30:00,9,12,2,9,5,14389,12972,2018,30.261,-97.748,30.262,-97.77
bicycle,1453,44,10/10/2018 22:15:00,10/10/2018 22:45:00,10,22,3,5,5,13442,13599,2018,30.255,-97.761,30.255,-97.761
bicycle,3276,2835,06/10/2018 10:15:00,06/10/2018 11:00:00,10,10,6,9,9,13919,13919,2018,30.267,-97.754,30.266,-97.755
bicycle,108,5,09/23/2018 04:00:00,09/23/2018 04:00:00,9,16,7,9,9,15336,15336,2018,30.265,-97.735,30.265,-97.735
bicycle,25,1,08/25/2018 11:45:00,08/25/2018 11:45:00,8,23,6,9,9,14389,14389,2018,30.26,-97.749,30.26,-97.749
bicycle,1500,706,02/09/2018 16:45:00,02/09/2018 17:00:00,9,16,7,9,9,14389,14389,2018,30.26,-97.747,30.26,-97.749
bicycle,1706,5087,09/21/2018 06:00:00,09/21/2018 06:30:00,9,18,5,9,3,14546,16588,2018,30.259,-97.746,30.245,-97.716
bicycle,459,1545,06/07/2018 16:15:00,06/07/2018 16:15:00,7,16,5,9,3,15020,15807,2018,30.264,-97.74,30.262,-97.727
bicycle,397,1577,10/07/2018 12:45:00,10/07/2018 13:00:00,7,12,2,9,9,14706,14389,2018,30.265,-97.743,30.26,-97.748
bicycle,361,1722,07/24/2018 11:15:00,07/24/2018 11:15:00,7,23,2,3,9,15808,15018,2018,30.264,-97.727,30.259,-97.739
bicycle,2621,5166,10/07/2018 22:00:00,10/07/2018 22:45:00,7,22,2,9,9,15662,15504,2018,30.291,-97.73,30.291,-97.732
bicycle,466,1931,10/07/2018 22:00:00,10/07/2018 22:00:00,7,22,2,1,9,15660,14876,2018,30.287,-97.73,30.296,-97.742
bicycle,1362,3460,10/07/2018 22:15:00,10/07/2018 22:30:00,7,22,2,9,9,14385,14393,2018,30.251,-97.749,30.27,-97.749
bicycle,1744,5649,10/07/2018 22:30:00,10/07/2018 22:45:00,7,22,2,5,3,13442,15964,2018,30.256,-97.763,30.261,-97.725
bicycle,548,2800,10/07/2018 22:30:00,10/07/2018 22:30:00,7,22,2,9,9,14226,15018,2018,30.248,-97.75,30.258,-97.739
bicycle,355,1802,10/07/2018 23:00:00,10/07/2018 23:00:00,7,23,2,3,3,15007,15798,2018,30.232,-97.738,30.241,-97.726
bicycle,903,2832,11/07/2018 00:30:00,11/07/2018 00:45:00,7,0,3,9,9,15177,13920,2018,30.261,-97.737,30.269,-97.756
bicycle,729,2221,11/07/2018 01:45:00,11/07/2018 02:00:00,7,1,3,9,9,14393,15179,2018,30.271,-97.749,30.267,-97.737
bicycle,2520,5,10/28/2018 03:15:00,10/28/2018 04:00:00,10,15,7,9,5,14389,13760,2018,30.261,-97.749,30.262,-97.757
bicycle,563,2060,11/07/2018 01:45:00,11/07/2018 02:00:00,7,1,3,1,1,16285,16604,2018,30.274,-97.72,30.285,-97.715
