idstation,lat1,lon1
13918,30.263,-97.755
12972,30.263,-97.77
14383,30.247,-97.748
13603,30.265,-97.761
14866,30.272,-97.741
14866,30.272,-97.741
13289,30.267,-97.765
14706,30.264,-97.744
13916,30.26,-97.755
12973,30.264,-97.77
14393,30.269,-97.748
15180,30.269,-97.735
14390,30.263,-97.747
14392,30.267,-97.749
12972,30.262,-97.77
13445,30.264,-97.763
14868,30.276,-97.742
12972,30.262,-97.77
13599,30.255,-97.761
13919,30.266,-97.755
15336,30.265,-97.735
14389,30.26,-97.749
14389,30.26,-97.749
16588,30.245,-97.716
15807,30.262,-97.727
14389,30.26,-97.748
15018,30.259,-97.739
15504,30.291,-97.732
14876,30.296,-97.742
14393,30.27,-97.749
15964,30.261,-97.725
15018,30.258,-97.739
15798,30.241,-97.726
13920,30.269,-97.756
15179,30.267,-97.737
13760,30.262,-97.757
16604,30.285,-97.715
15174,30.253,-97.737
15022,30.267,-97.739
15819,30.29,-97.726
14401,30.29,-97.748
14707,30.268,-97.743
14865,30.268,-97.741
14865,30.268,-97.741
14550,30.269,-97.746
14090,30.299,-97.752
13760,30.263,-97.759
15018,30.259,-97.739
14865,30.269,-97.741
12821,30.277,-97.771
16593,30.259,-97.715
13918,30.264,-97.755
14546,30.259,-97.747
14865,30.268,-97.741
13766,30.277,-97.758
14707,30.268,-97.743
14706,30.266,-97.745
14865,30.268,-97.742
14865,30.269,-97.741
13917,30.261,-97.755
15188,30.288,-97.737
14872,30.286,-97.742
14706,30.265,-97.744
15029,30.285,-97.74
14384,30.249,-97.75
16279,30.261,-97.721
12973,30.264,-97.771
15798,30.241,-97.726
14706,30.265,-97.744
14557,30.285,-97.747
16434,30.255,-97.719
16434,30.255,-97.719
15340,30.275,-97.734
16436,30.26,-97.718
14874,30.291,-97.742
15187,30.285,-97.736
15186,30.284,-97.737
14078,30.271,-97.753
13907,30.239,-97.755
14865,30.269,-97.741
14865,30.268,-97.741
14869,30.278,-97.742
15834,30.325,-97.728
14871,30.284,-97.742
15178,30.264,-97.737
15332,30.255,-97.735
14243,30.289,-97.751
15344,30.285,-97.735
15029,30.285,-97.74
15335,30.263,-97.735
14863,30.265,-97.742
14392,30.269,-97.748
15019,30.262,-97.739
14865,30.27,-97.741
14395,30.276,-97.749
14080,30.276,-97.752
12339,30.254,-97.78
13293,30.276,-97.765
12339,30.254,-97.78
14707,30.269,-97.743
14385,30.252,-97.749
14714,30.285,-97.743
12821,30.277,-97.773
14714,30.285,-97.743
15344,30.285,-97.735
14705,30.264,-97.743
15186,30.284,-97.737
14391,30.265,-97.747
14244,30.29,-97.751
12657,30.262,-97.775
14244,30.29,-97.75
15007,30.232,-97.738
13445,30.263,-97.762
15021,30.265,-97.738
12814,30.261,-97.771
13602,30.263,-97.76
15810,30.269,-97.728
14863,30.264,-97.742
15021,30.266,-97.738
15018,30.257,-97.739
16277,30.255,-97.72
14714,30.285,-97.743
13599,30.255,-97.762
14863,30.265,-97.742
15188,30.287,-97.737
15329,30.249,-97.735
13447,30.267,-97.762
13924,30.279,-97.755
13445,30.264,-97.763
14859,30.254,-97.742
15493,30.265,-97.731
15186,30.284,-97.737
15187,30.286,-97.737
15807,30.263,-97.727
15018,30.258,-97.739
15018,30.258,-97.739
14075,30.262,-97.752
14545,30.257,-97.746
14546,30.259,-97.746
15807,30.262,-97.726
14401,30.29,-97.749
13758,30.259,-97.758
13917,30.263,-97.755
15643,30.246,-97.73
14389,30.262,-97.749
13917,30.263,-97.755
15807,30.262,-97.726
12820,30.275,-97.771
15807,30.262,-97.726
14548,30.265,-97.746
14078,30.27,-97.753
14706,30.265,-97.745
13760,30.263,-97.759
14232,30.261,-97.751
13600,30.257,-97.759
14714,30.284,-97.744
15019,30.26,-97.738
14401,30.29,-97.749
13445,30.263,-97.763
13917,30.263,-97.755
14714,30.285,-97.743
16442,30.274,-97.719
14389,30.26,-97.749
14392,30.269,-97.749
15662,30.291,-97.729
14075,30.263,-97.754
13916,30.26,-97.755
13289,30.266,-97.765
13916,30.26,-97.755
15800,30.246,-97.727
14384,30.249,-97.75
14558,30.289,-97.746
15798,30.241,-97.726
13917,30.263,-97.755
16123,30.264,-97.722
13760,30.263,-97.758
15962,30.257,-97.725
13917,30.263,-97.755
15662,30.291,-97.729
15178,30.265,-97.737
14865,30.268,-97.742
14720,30.299,-97.743
14718,30.294,-97.744
14385,30.251,-97.748
14243,30.289,-97.751
14389,30.261,-97.747
15017,30.256,-97.74
14384,30.249,-97.75
15810,30.269,-97.728
15810,30.269,-97.728
15819,30.29,-97.726
13925,30.281,-97.757
15329,30.248,-97.735
15819,30.29,-97.726
16111,30.237,-97.723
15493,30.264,-97.732
15179,30.266,-97.738
16426,30.236,-97.718
15493,30.264,-97.731
15493,30.264,-97.731
14701,30.254,-97.744
15492,30.262,-97.733
14559,30.29,-97.747
14706,30.265,-97.744
13293,30.276,-97.766
15186,30.284,-97.737
16751,30.259,-97.712
14863,30.265,-97.742
14234,30.266,-97.75
14707,30.268,-97.743
15486,30.246,-97.731
12973,30.264,-97.77
14241,30.284,-97.752
14865,30.268,-97.741
14707,30.269,-97.743
15021,30.266,-97.74
14858,30.252,-97.74
14706,30.265,-97.743
15026,30.277,-97.739
14234,30.266,-97.751
15187,30.285,-97.737
14875,30.292,-97.741
14714,30.285,-97.743
14869,30.278,-97.742
14550,30.268,-97.746
14863,30.265,-97.742
14705,30.263,-97.745
14864,30.267,-97.741
14389,30.26,-97.748
15178,30.264,-97.738
14388,30.259,-97.749
15178,30.264,-97.738
14872,30.286,-97.742
14546,30.26,-97.747
16917,30.281,-97.71
17075,30.281,-97.709
