stationid,lat,lon
13918,30.263,-97.756
13602,30.262,-97.759
14230,30.257,-97.75
15335,30.264,-97.734
15965,30.263,-97.725
15965,30.263,-97.725
15800,30.245,-97.726
14861,30.26,-97.741
13916,30.26,-97.755
12973,30.264,-97.771
14236,30.27,-97.751
14707,30.267,-97.743
13603,30.264,-97.76
15180,30.268,-97.736
13760,30.263,-97.757
13602,30.262,-97.762
14710,30.275,-97.742
14389,30.261,-97.748
13442,30.255,-97.761
13919,30.267,-97.754
15336,30.265,-97.735
14389,30.26,-97.749
14389,30.26,-97.747
14546,30.259,-97.746
15020,30.264,-97.74
14706,30.265,-97.743
15808,30.264,-97.727
15662,30.291,-97.73
15660,30.287,-97.73
14385,30.251,-97.749
13442,30.256,-97.763
14226,30.248,-97.75
15007,30.232,-97.738
15177,30.261,-97.737
14393,30.271,-97.749
14389,30.261,-97.749
16285,30.274,-97.72
15017,30.256,-97.739
15179,30.267,-97.737
15819,30.29,-97.726
15819,30.291,-97.726
14702,30.255,-97.744
16451,30.295,-97.718
14716,30.29,-97.744
13920,30.269,-97.756
14717,30.291,-97.743
15798,30.241,-97.726
14863,30.264,-97.742
13768,30.282,-97.758
14705,30.263,-97.743
16279,30.26,-97.72
13918,30.264,-97.755
15965,30.263,-97.726
16121,30.26,-97.723
13767,30.28,-97.759
15807,30.262,-97.726
15807,30.262,-97.727
15018,30.258,-97.739
13445,30.263,-97.762
14075,30.263,-97.754
14716,30.29,-97.744
14090,30.299,-97.752
14544,30.254,-97.747
14244,30.29,-97.751
14694,30.238,-97.744
14381,30.242,-97.75
14550,30.268,-97.746
13760,30.263,-97.759
14549,30.267,-97.747
14714,30.284,-97.743
15022,30.268,-97.74
14865,30.269,-97.741
15174,30.254,-97.737
16593,30.259,-97.715
15188,30.288,-97.737
15188,30.288,-97.737
14874,30.291,-97.742
14868,30.277,-97.742
16279,30.261,-97.721
16434,30.255,-97.719
16434,30.255,-97.719
14078,30.271,-97.753
14393,30.27,-97.749
14872,30.286,-97.742
14860,30.257,-97.74
15650,30.263,-97.73
14871,30.284,-97.742
14874,30.291,-97.742
14401,30.289,-97.748
14706,30.265,-97.743
14706,30.265,-97.744
14548,30.265,-97.746
15029,30.285,-97.74
15186,30.284,-97.737
13607,30.273,-97.76
14080,30.276,-97.752
14384,30.249,-97.75
13607,30.273,-97.76
14226,30.248,-97.75
15798,30.241,-97.726
14384,30.249,-97.75
15187,30.286,-97.736
12663,30.276,-97.773
15345,30.286,-97.735
14715,30.286,-97.743
14392,30.269,-97.749
14714,30.285,-97.743
14080,30.275,-97.753
14714,30.285,-97.745
15335,30.263,-97.735
15029,30.285,-97.74
15639,30.237,-97.73
14865,30.268,-97.741
14244,30.29,-97.751
12657,30.262,-97.775
13447,30.268,-97.764
16604,30.285,-97.716
15021,30.265,-97.738
14863,30.264,-97.742
15018,30.257,-97.739
15332,30.255,-97.735
15344,30.285,-97.735
14707,30.268,-97.743
14863,30.265,-97.742
14714,30.285,-97.744
14707,30.267,-97.743
13602,30.263,-97.76
