duration,Trip Distance,datetime,month,hour,checkout_kiosk_id
60,52,10/23/2018 12:30:00,10,12,13918
715,2140,07/29/2018 07:00:00,7,19,13602
549,1947,07/29/2018 07:15:00,7,19,14230
765,3267,01/08/2018 15:00:00,8,15,15335
1261,2462,02/07/2018 11:00:00,7,11,15965
898,2285,02/07/2018 11:15:00,7,11,15965
1751,5488,08/07/2018 14:45:00,7,14,15800
1920,3039,02/09/2018 15:00:00,9,15,14861
2220,789,02/09/2018 21:30:00,9,21,13916
51,89,10/23/2018 02:00:00,10,14,12973
231,622,08/22/2018 09:45:00,8,21,14236
480,455,07/10/2018 18:30:00,10,18,14707
1020,830,06/10/2018 20:15:00,10,20,13603
1020,2410,09/25/2018 11:00:00,9,23,15180
5571,5,10/28/2018 03:15:00,10,15,13760
240,144,05/10/2018 13:30:00,10,13,13602
314,803,06/10/2018 10:30:00,10,10,14710
1576,4040,11/09/2018 12:00:00,9,12,14389
1453,44,10/10/2018 22:15:00,10,22,13442
3276,2835,06/10/2018 10:15:00,10,10,13919
108,5,09/23/2018 04:00:00,9,16,15336
25,1,08/25/2018 11:45:00,8,23,14389
1500,706,02/09/2018 16:45:00,9,16,14389
1706,5087,09/21/2018 06:00:00,9,18,14546
459,1545,06/07/2018 16:15:00,7,16,15020
397,1577,10/07/2018 12:45:00,7,12,14706
361,1722,07/24/2018 11:15:00,7,23,15808
2621,5166,10/07/2018 22:00:00,7,22,15662
466,1931,10/07/2018 22:00:00,7,22,15660
1362,3460,10/07/2018 22:15:00,7,22,14385
1744,5649,10/07/2018 22:30:00,7,22,13442
548,2800,10/07/2018 22:30:00,7,22,14226
355,1802,10/07/2018 23:00:00,7,23,15007
903,2832,11/07/2018 00:30:00,7,0,15177
729,2221,11/07/2018 01:45:00,7,1,14393
2520,5,10/28/2018 03:15:00,10,15,14389
563,2060,11/07/2018 01:45:00,7,1,16285
2902,8450,08/26/2018 07:30:00,8,7,15017
1763,5987,11/07/2018 02:00:00,7,2,15179
466,917,11/07/2018 03:45:00,7,3,15819
687,2382,11/07/2018 06:45:00,7,6,15819
623,1770,11/07/2018 07:30:00,7,7,14702
725,4281,11/07/2018 07:45:00,7,7,16451
834,3074,11/07/2018 08:45:00,7,8,14716
452,1191,11/07/2018 08:45:00,7,8,13920
638,2478,11/07/2018 08:45:00,7,8,14717
965,5005,11/07/2018 08:45:00,7,8,15798
597,27,09/16/2018 10:00:00,9,22,14863
644,2704,11/07/2018 08:45:00,7,8,13768
1363,4123,10/13/2018 09:45:00,10,9,14705
1257,1400,11/07/2018 08:45:00,7,8,16279
300,0,09/14/2018 02:15:00,9,14,13918
589,2688,11/07/2018 08:45:00,7,8,15965
391,2060,11/07/2018 09:00:00,7,9,16121
1880,4651,11/07/2018 09:00:00,7,9,13767
618,2044,11/07/2018 09:00:00,7,9,15807
443,1883,11/07/2018 09:00:00,7,9,15807
427,1529,11/07/2018 09:15:00,7,9,15018
844,2832,11/07/2018 09:15:00,7,9,13445
60,237,09/13/2018 09:00:00,9,9,14075
171,837,11/07/2018 10:00:00,7,10,14716
1580,2398,11/07/2018 10:00:00,7,10,14090
322,1400,11/07/2018 10:00:00,7,10,14544
413,1481,11/07/2018 10:15:00,7,10,14244
344,1706,11/07/2018 10:30:00,7,10,14694
979,5053,11/07/2018 10:30:00,7,10,14381
